year,month,day,day_of_week,homicide_type,hood_158,hood_140
2010,November,27,Saturday,Other,164,77
2010,November,29,Monday,Shooting,72,72
2010,December,2,Thursday,Other,62,62
2010,December,25,Saturday,Shooting,111,111
2010,December,29,Wednesday,Other,55,55
2011,January,1,Saturday,Stabbing,164,77
2011,January,5,Wednesday,Shooting,125,125
2011,January,6,Thursday,Other,136,136
2011,January,12,Wednesday,Other,95,95
2011,January,13,Thursday,Other,108,108
2011,January,23,Sunday,Other,71,71
2011,February,1,Tuesday,Shooting,21,21
2011,February,5,Saturday,Stabbing,27,27
2011,February,11,Friday,Shooting,141,137
2011,February,11,Friday,Shooting,112,112
2011,February,16,Wednesday,Shooting,113,113
2011,February,19,Saturday,Other,146,132
2011,February,26,Saturday,Shooting,146,132
2011,March,2,Wednesday,Shooting,114,114
2011,March,3,Thursday,Other,172,93
2011,March,20,Sunday,Shooting,6,6
2011,March,21,Monday,Other,85,85
2011,March,28,Monday,Shooting,63,63
2011,March,28,Monday,Shooting,138,138
2011,April,6,Wednesday,Other,66,66
2011,April,15,Friday,Other,27,27
2011,April,30,Saturday,Shooting,4,4
2011,May,26,Thursday,Shooting,147,117
2011,May,29,Sunday,Shooting,2,2
2011,June,16,Thursday,Shooting,25,25
2011,July,1,Friday,Stabbing,119,119
2011,July,22,Friday,Stabbing,139,139
2011,July,29,Friday,Other,115,115
2011,July,29,Friday,Shooting,158,14
2011,July,31,Sunday,Shooting,115,115
2011,August,10,Wednesday,Stabbing,155,26
2011,August,20,Saturday,Shooting,155,26
2011,August,23,Tuesday,Shooting,33,33
2011,August,27,Saturday,Shooting,114,114
2011,September,11,Sunday,Other,142,137
2011,September,17,Saturday,Shooting,120,120
2011,October,2,Sunday,Shooting,81,81
2011,October,7,Friday,Other,84,84
2011,October,9,Sunday,Shooting,43,43
2011,October,14,Friday,Shooting,61,61
2011,October,15,Saturday,Shooting,24,24
2011,October,17,Monday,Other,120,120
2011,October,21,Friday,Shooting,13,13
2011,October,28,Friday,Shooting,154,26
2011,November,29,Tuesday,Shooting,70,70
2011,December,2,Friday,Stabbing,50,50
2011,December,2,Friday,Other,28,28
2011,December,3,Saturday,Stabbing,39,39
2011,December,26,Monday,Other,72,72
2011,December,30,Friday,Shooting,141,137
2011,December,31,Saturday,Stabbing,78,78
2012,January,1,Sunday,Stabbing,163,82
2012,January,1,Sunday,Shooting,120,120
2012,January,1,Sunday,Other,56,56
2012,January,21,Saturday,Shooting,125,125
2012,January,24,Tuesday,Shooting,145,132
2012,January,27,Friday,Shooting,83,83
2012,February,20,Monday,Shooting,38,38
2012,February,20,Monday,Shooting,38,38
2012,February,29,Wednesday,Other,147,117
2012,March,11,Sunday,Other,151,51
2012,March,23,Friday,Stabbing,15,15
2012,April,12,Thursday,Shooting,111,111
2012,April,15,Sunday,Stabbing,119,119
2012,April,16,Monday,Other,88,88
2012,May,4,Friday,Shooting,32,32
2012,May,7,Monday,Other,121,121
2012,May,9,Wednesday,Shooting,100,100
2012,May,10,Thursday,Shooting,114,114
2012,May,14,Monday,Other,73,73
2012,May,31,Thursday,Shooting,133,133
2012,June,2,Saturday,Shooting,168,75
2012,June,2,Saturday,Shooting,168,75
2012,June,18,Monday,Shooting,80,80
2012,June,22,Friday,Shooting,126,126
2012,June,23,Saturday,Shooting,153,51
2012,July,2,Monday,Other,67,67
2012,July,3,Tuesday,Other,12,12
2012,July,5,Thursday,Shooting,158,14
2012,July,16,Monday,Shooting,136,136
2012,July,16,Monday,Shooting,136,136
2012,July,17,Tuesday,Shooting,115,115
2012,July,19,Thursday,Shooting,32,32
